question_id,current_major,target_major,reason,stem,source_note
8411da33-2cfa-4d75-872f-9d289beb3cc0,science,science-review-needed,ambiguous_science_biology_score_0_physical_score_0,The science teacher gave a test before a unit was taken up. The purpose in administering the test was find to out the weaknesses and strengths of the class with regards to the unit. What type of lesson is being illustrated by Miss Palmiery?,sept2026_let row 3196; page 10; Z. 4.pdf; original no. 73; Path explicitly groups BEED and BSED. Correct answer sourced from detected answer key section.
d6d25709-cf4c-4c5c-9fbb-ecda2bc45db4,science,science-review-needed,ambiguous_science_biology_score_0_physical_score_0,"Ms. Campos, a newly appointed teacher, was assigned to teach science in the intermediate grades for which she has very little background. As a result, she has been experiencing considerable anxiety both because she is new and because she lacks confidence in the subject where she was assigned. After spending considerable time in planning she discovered that the use of transparencies will keep the floe of her discussion going. What planning function manifests itself in this teaching situation?",sept2026_let row 3219; page 13; Z. 4.pdf; original no. 96; Path explicitly groups BEED and BSED. Correct answer sourced from detected answer key section.
b15a6e31-0b37-4356-a884-46b84a6c1514,science,science-review-needed,ambiguous_science_biology_score_0_physical_score_2,"Teacher R, a science teacher, makes sure all eyes are on her as she demonstrates the proper behavior for lighting a Bunsen burner. Whose theory supports Teacher R's practice?",sept2026_let row 3439; page 4; Z. 8.pdf; original no. 21; Path explicitly groups BEED and BSED. Correct answer sourced from detected answer key section.
2f13b050-4dae-4890-9a69-a7692946a707,science,science-review-needed,ambiguous_science_biology_score_0_physical_score_0,Which one of the following is correctly matched?,sept2026_let row 8681; page 4; BSED General Science P1.pdf; original no. 29; Path indicates BSED/Secondary. Correct answer sourced from detected answer key section.
6825858f-a0b3-4de2-b9bc-ab2c851e26b9,science,science-review-needed,ambiguous_science_biology_score_0_physical_score_0,Which one of the following is correctly matched? 2026 LET REVIEWER FILES By: Professionals Review PH,sept2026_let row 8682; page 4-5; BSED General Science P1.pdf; original no. 30; Path indicates BSED/Secondary. Correct answer sourced from detected answer key section.
9804a94a-024c-4412-b2a2-da04b59333a1,science,science-review-needed,ambiguous_science_biology_score_0_physical_score_0,Decimals can also be represented as?,sept2026_let row 8713; page 4; BSED General Science P2.pdf; original no. 23; Path indicates BSED/Secondary. Correct answer sourced from detected answer key section.
d11b9840-f298-43aa-8775-3b35db736105,science,science-review-needed,ambiguous_science_biology_score_0_physical_score_0,Paper is recyclable because?,sept2026_let row 8724; page 5-6; BSED General Science P2.pdf; original no. 35; Path indicates BSED/Secondary. Correct answer sourced from detected answer key section.
cbc2391c-d4c8-438d-9898-1a5b9a943d95,science,science-review-needed,ambiguous_science_biology_score_0_physical_score_0,Which of the following statements regarding the consequences of the movement of the earth is not correct?,sept2026_let row 8726; page 6; BSED General Science P2.pdf; original no. 37; Path indicates BSED/Secondary. Correct answer sourced from detected answer key section.
302edb75-4181-4092-9b75-26181298c8a3,science,science-review-needed,ambiguous_science_biology_score_0_physical_score_0,"If a ship has to travel the shortest route, it must follow?",sept2026_let row 8727; page 6; BSED General Science P2.pdf; original no. 38; Path indicates BSED/Secondary. Correct answer sourced from detected answer key section.
d6d4bebb-0376-47ed-8790-a7f07f5391d5,science,science-review-needed,ambiguous_science_biology_score_0_physical_score_0,Wood is the main raw material for the manufacture of ?,sept2026_let row 8760; page 6; BSED General Science P3.pdf; original no. 37; Path indicates BSED/Secondary. Correct answer sourced from detected answer key section.
98daa76f-ef04-403e-943a-62b127a8a879,science,science-review-needed,ambiguous_science_biology_score_0_physical_score_0,The Grade 6 Science teachers are engaged in panning the units for Science. Which of the following activities will not be engaged in by the group of teachers?,sept2026_let row 3226; page 1; Z. 5.pdf; original no. 103; Path explicitly groups BEED and BSED. Answer key exists in source text but this item was not matched confidently. Correct answer resolved from source PDF answer key in second pass.
